AccelActuPosHSC1,EnSpdHSC1,MSLongAccelGHSC,EnToqActuExtdRngHSC1,VehSpdAvgDrvnHSC1,VehSpdAvgNonDrvnHSC1,AutocTrCmddGear_TCMHSC1,TrEstdGear_TCMHSC1,EnActuStdyStaToq_LSBHSC1,EnActuStdyStaToq_MSBHSC1,kickdown
0,1574,-0.01,-9,38.359,38.203,4,4,-841,832,0
0,1572,-0.011,-9.5,38.359,38.203,4,4,-841.5,832,0
0,1567,-0.019,-10.5,38.234,38.063,4,4,-842.5,832,0
0,1573,-0.006,-11,38.234,38.063,4,4,-843,832,0
0,1566,-0.013,-11,38.125,38.063,4,4,-843,832,0
0,1561.5,-0.018,-12.5,38.125,38.063,4,4,-844.5,832,0
0,1564,-0.024,-12.5,38.016,37.984,4,4,-844.5,832,0
0,1557,-0.011,-12.5,38.016,37.984,4,4,-844.5,832,0
0,1554,-0.014,-13.5,37.828,37.75,4,4,-845.5,832,0
0,1557,-0.014,-13.5,37.828,37.75,4,4,-846,832,0
0,1548.5,-0.013,-14,37.75,37.547,4,4,-846,832,0
0,1545,-0.021,-14,37.75,37.547,4,4,-846,832,0
0,1551.5,-0.018,-14,37.656,37.547,4,4,-846,832,0
0,1546,-0.013,-13.5,37.656,37.547,4,4,-845.5,832,0
0,1534.5,-0.016,-14,37.5,37.469,4,4,-846,832,0
0,1538,-0.021,-14,37.5,37.469,4,4,-845.5,832,0
0,1541,-0.011,-14,37.391,37.359,4,4,-846,832,0
5.49,1531.5,-0.011,-13.5,37.391,37.359,4,4,-845.5,832,0
18.431,1528.5,-0.022,-12.5,37.359,37.203,4,4,-841.5,832,0
34.118,1556,-0.01,-7,37.359,37.203,4,4,-848,840,0
40.784,1552.5,0,-1.5,37.219,37.047,4,4,-841.5,840,0
40.784,1548,0.008,7.5,37.219,37.047,4,4,-842.5,848,0
41.176,1564.5,0.005,6,37.109,36.922,4,4,-842,848,0
41.176,1542,0.022,5.5,37.109,36.922,4,4,-847.5,864,0
41.176,1524.5,0.011,21.5,37.109,36.938,4,4,-840.5,856,0
41.176,1541.5,0.027,14,37.109,36.938,4,4,-846.5,864,0
41.176,1542,0.046,26,37.109,37.063,4,4,-842.5,872,0
41.176,1536,0.049,33.5,37.109,37.063,4,4,-844,880,0
41.176,1539,0.048,39.5,37.328,37.047,4,4,-846.5,888,0
41.176,1538,0.045,53,37.328,37.047,4,4,-842.5,896,0
41.176,1560.5,0.056,63.5,37.328,38.063,4,4,-846,912,0
41.176,1564,0.073,62.5,37.328,38.063,4,4,-847,920,0
41.176,1556,0.077,77.5,37.422,37.156,4,4,-842.5,920,0
41.176,1557.5,0.08,81.5,37.422,37.156,4,4,-845,928,0
40,1562.5,0.077,83.5,37.609,37.391,4,4,-844.5,928,0
33.726,1568.5,0.085,86.5,37.609,37.391,4,4,-842,928,0
20,1572,0.085,89.5,37.813,37.453,4,4,-843.5,936,0
3.137,1576,0.081,84,37.813,37.453,4,4,-844.5,928,0
0,1576.5,0.089,82,38,37.828,4,4,-842,912,0
0,1569.5,0.069,56.5,38,37.828,4,4,-847.5,904,0
0,1560,0.054,52,38.266,38.016,4,4,-845.5,896,0
0,1576,0.037,36.5,38.266,38.016,4,4,-847,880,0
0,1574.5,0.03,26,38.297,38.172,4,4,-846,872,0
0,1571,0.01,22,38.297,38.172,4,4,-843.5,864,0
0,1549.5,0.048,16.5,38.375,38.156,4,4,-847.5,864,0
0,1538.5,0.008,17,38.375,38.156,4,4,-843.5,856,0
0,1523.5,-0.043,13,38.469,38.281,4,4,-845,856,0
0,1587.5,-0.013,-1,38.469,38.281,4,4,-841,840,0
0,1599.5,0.018,-3,37.891,38.438,4,4,-843,848,0
0,1578.5,0.018,13,37.891,38.438,4,4,-845,856,0
0,1597.5,0,4.5,38.563,37.766,4,4,-843.5,848,0
0,1581.5,0.026,7,38.563,37.766,4,4,-846,856,0
0,1555,0,12,38.047,37.797,4,4,-844,856,0
0,1562.5,0.03,5,38.047,37.797,4,4,-842.5,848,0
0,1551.5,0.019,4,37.781,37.984,4,4,-843.5,848,0
0,1539.5,-0.003,4,37.781,37.984,4,4,-844,848,0
0,1542.5,-0.032,2,38.266,37.906,4,4,-847,848,0
0,1539.5,-0.002,0,38.266,37.906,4,4,-848,848,0
0,1562.5,-0.008,-1.5,37.766,37.75,4,4,-841,840,0
0,1565.5,-0.006,-1,37.766,37.75,4,4,-842.5,840,0
0,1555.5,0,-3,37.875,37.688,4,4,-844,840,0
0,1542.5,-0.006,-4,37.875,37.688,4,4,-845,840,0
0,1557.5,-0.019,-6.5,37.859,37.547,4,4,-846.5,840,0
0,1559.5,-0.002,-7,37.859,37.547,4,4,-847.5,840,0
0,1539.5,-0.022,-7.5,37.688,37.594,4,4,-841.5,832,0
0,1546.5,-0.021,-9.5,37.688,37.594,4,4,-841.5,832,0
0,1554,-0.002,-10,37.578,37.578,4,4,-842.5,832,0
0,1539.5,-0.002,-11,37.578,37.578,4,4,-843,832,0
0,1534,-0.021,-11.5,37.609,37.422,4,4,-844,832,0
0,1545.5,-0.011,-12.5,37.609,37.422,4,4,-844.5,832,0
0,1539,-0.006,-12.5,37.422,37.25,4,4,-844.5,832,0
0,1524,-0.014,-12.5,37.422,37.25,4,4,-844.5,832,0
0,1535,-0.01,-13.5,37.328,37.156,4,4,-845.5,832,0
0,1534.5,-0.005,-13.5,37.328,37.156,4,4,-846,832,0
0,1525.5,-0.011,-14,37.266,37.125,4,4,-846,832,0
0,1524.5,-0.026,-13.5,37.266,37.125,4,4,-845.5,832,0
0,1530.5,-0.021,-13.5,37.109,37.047,4,4,-845.5,832,0
0,1522,-0.013,-13.5,37.109,37.047,4,4,-845.5,832,0
0,1514,-0.014,-13.5,36.984,36.922,4,4,-845.5,832,0
0,1517,-0.018,-13.5,36.984,36.922,4,4,-845.5,832,0
0,1515,-0.024,-13.5,36.859,36.766,4,4,-845.5,832,0
0,1508.5,-0.002,-13.5,36.859,36.766,4,4,-845.5,832,0
0,1508.5,-0.006,-13.5,36.688,36.547,4,4,-845.5,832,0
